1974014,2411
488316,3658
3866343.3,10878
2643454.4,10762
643800,2720
3426077,12246
3657894.4,10616
279613.9,1273
135910.5,502
227022,3328
1862781,1669
475152,579
721910,729
2059940,1315
649000,1565
2253490,7255
340524,1907.11
4025325,8525
202320,230
61800,89.49
200680,146.29
39108,106.7
80455,166.89
365000,234
69000,179
152796.18,464.85
200500,254
175571,80.1
51771,35.65
168944,294.79
269196,672.35
85312,266.6
139624,266.8
354936,201.85
3280000,1905
54188,179.9
724104,1249
1064456,220.58
253050,159.2
506700,1483.1
191641,270
115234,135
558891,2337
362960.14,188.34
145030,268
183461,422.59
915697,2324.36
204565.2,341
86196,65.52
382854,682.21
364379,309
90055,142.9
108306,83.6
361814,313.3
2847321,1862
145369,424.8
162046,231
51246,136.2
401647,718
326276.1,346.1
205816,399.6
103004,225.5
114835,123.2
749431,666.1
103236,504.9
104647,262.6
154791,330.6
84577,134
187678,276.2
223380,518.23
437929,827.22
217700,92.6
249800,488.9
344000,24.2
253900,220.29
714504,325
1258985.7,2309
873720,1107.18
156456,471
8247829,6125
112445,356.97
442085,801.46
264491.5,472.85
187440,314.58
218600,579.74
195000,434
308201,721.08
118872,138.98
277296,608.7
595000,1212.1
394600,1040
98600,471.5
192100,455.32
129254,299.41
42440,124.8
268900,839.2
243198,429.7
189500,527
264187,457.6
721700,1852.5
282000,1077
33045,265.45
246103,1041.42
270647,526.02
135972,541.3
182897,552.1
185277,326.3
166518.15,249.06
95156,104
186955,529.1
214785,442.79
2737.42,20.3
44122.5,53.84
5678,33.9
6930.67,60
105704.5,508.56
35887.42,63
60767.92,108.53
89000,130.23
116000,272.7
21532,195.05
9383.33,39.6
136782.83,447
309581.17,650
844802.17,2267.78
31192.67,121.4
9008,78.56
1918,10.8
2350,133
84006.33,138
59695.83,230
2297,30
26220,112.5
28727.33,103
2385,16.5
11173.25,52.3
6074,19.8
1884,28.61
14105,46.3
123000,329
18382,45.02
9616,17.3
58128,263
29428,56.25
1441.67,164.17
52875,72
2982,48.55
7000,21.2
15131.67,49
31000,68
21479.75,101.6
22440,49
12118.17,33.5
8791,74.48
9900,50
6300,38
8622.5,79.2
5238.75,28.68
40000,115.65
28373.33,64
11406.5,26.2
14033.92,51
10207,26.34
17060,124.5
23154,67
40768,68.7
1149148,2600
517671,5900.4
154915,1192
89428,757
40887,339.54
41180,165.2
20556,158.65
60000,563
21000,82
23854,156.75
15820,46.5
12450,120
405000,1150
8402,22
104000,630
42800,650
186000,775
17000,94
11428,116
11300,59
32500,216.81
308023,1111.4
174500,1997.1
357005,1033.17
258033,2397
572944,1520.06
378830,1275.3
32000,426.2
97011,539.9
271952,1002.01
757200,2170
15010,281
321230,958.2
90000,703.5
72754,459.1
756462,2340
88100,561.4
197252.3,601.4
69151,231.1
406726,1293.6
145200,1218.6
2006971,4135.6
106186,347.65
31000,492.2
124000,641.7
29943,297.8
24459.93,230.6
179160,286.1
14900,51.9
351230,652.3
531720,1356.6
661009,1087.2
387090,1140.4
74560,137.4
224340,375.4
405920,892.7
481000,614
1191990,1877.2
123130,339
343510,303.7
1444440,1745.1
104010,479.3
62860,133.2
623420,959.5
310300,857.67
701017,979.5
459560,1045.8
341990,732.5
1216970,1841.6
553080,1520.9
611160,930.4
96940,143.4
496990,898.4
276690,531
853850,1782.9
1066930,1257.3
325190,563
443210,909.7
115870,83.9
510020,1116.5
92080,232.9
166989,639.3
587880,934.1
12179140,12844.2
305804,365.3
239040,632.6
24540,38
1286129,2001.9
221870,583.3
1642981,2170.2
1178080,1819.4
552660,1497.72
319650,621.3
524630,1019.8
1041880,1355.4
180960,541.1
277110,454.2
226311,409.3
1119880,2509.8
534760,868.8
48470,209.6
1170910,1760.6
300280,502.2
843460,1864.5
328910,510.5
5225690,7131.9
429800,861.2
243540,413.4
341683,717.3
569290,889.8
409900,1085
416440,770
720580,1002.7
1110980,1764.7
567300,716.3
629647,1537.6
307480,696.8
354830,900.3
606650,875
1016140,2279.4
312690,693.1
1032380,1603.5
303840,146.6
606700,1086.5
265040,471.7
193670,407.1
62125,1636
272073,547.93
395300,878.8
226618,639.2
177264,412
332060,697
346000,822.8
40194,567
17406,67
53000,279.5
25706,46
12500,61
621152,1116
45200,130
50000,112.33
12714,77
91156,318.4
53792,45
38300,120
37149,149.1
95000,162
583020,2188
4309463,9071
19900,442.9
89000,265.5
218260,496.97
11100,69.9
7000,34.6
6200,47.1
43900,103.6
3900,23
12500,64
14500,94.2
716500,1910.3
19300,160.5
20000,122
6000,22.9
6700,53
4500,40.9
13400,70.5
20100,118.2
1336530,9066
10500,41.9
3900,14
23400,263.9
8600,34.9
12240,121.8
10480,41.6
2300,29.2
3800,19.5
4500,35.4
28600,292
3600,16.6
10200,35
6100,58.1
11800,50.5
3800,30.6
34000,75.3
6800,45.8
14600,82
11500,57.8
3130,23.2
32100,136
8900,46
512317,1858.34
244340,1751
604288,1102
218639,1010
357889,2004
102512,194
303777,1014
18900,123.1
23300,186.9
15900,188.1
22600,196.51
1319804,3827
363182,3362
85054,1430
5260,58.7
81000,83.5
180000,140
150000,125
68210,90.18
1407120,684
15000000,3349.56
157880,36
185000,192
39000,120
70230,71.25
711250,604.25
380000,289
80000,122
71000,93
44000,80
35850,45.92
21930,20.74
35950,30.5
31760,55.31
21700,58
160000,111.47
50340,414.93
7800,38
23877,145.8
140062,366.06
40000,173.18
13963,37
5600,27.2
1030591.5,586
599699,1453
61968,378
6700,13.55
68200,117.86
76000,119
36500,42
43160,40.2
38160,62.19
199000,156
67000,154.25
6449,20
11438,172
42556,322.35
9684,29
4300,60.45
9227,22
5629301,10220.76
6117922,9223.18
6500000,9055
17300,7.63
60306,305
8950,15.35
31500,110
65500,144.2
22330,100
119600,171.4
19656,48.42
44300,138
40000,60
95000,60.24
31270,110.85
383800,339.33
1821794,2494
2200089,7500
1617006,523.5
632394,235
679957,731
1269452,502
1612874,675
315376,230.6
872654,296
877347,1200
610000,812
1621219,300
617011,328
1143184,634
170511,420
327394,452
1000000,450
327000,173
499898,755.56
1576078,472.91
139568,890
1803392,1560
6592641,2484.6
1951742,866.84
663502,768.55
497748,527
1750000,20
10000,200
769204,360
990250,876.46
387284,1010
248086,807.97
930191,558
526680,255
2981718,1946
10108,89
3690,25
122,8.5
450,2.5
1575,51.6
3950,67
3986,15.5
2600,12
14041,40.93
75973,167
231817.38,510
216358.44,592
129830.94,695
154895,540
129759.19,227
119404.18,279.17
92786,422
20000,30
13000,42.5
353733,897
40469,150
34378,219
14600,300
123274,546.9
70000,375
23961,255
15000,102
12475,196
208190,909.7
18521,47
761805,3946
33090,140.2
7357,115.87
9250,4
2824.8,34.83
2000,20.92
3800,804.67
496716,617.8
299395,632.64
129400,1152
50365,316.56
59760,250.3
33006,227.01
10572,90
1760,114
675586,4295
186357,3402
472926,4253
415063,4197
198232,2362
242772,3002
169716,2231
191185,1817
228129,2626
107333,1631
188061,3236
212159,3286
125598,1781
114659,1860
114745,1770
207621,2880
99100,1647
142195,1010
104802,1496
124817,1459
115573,1671
38237,708
61000,602
83601,1382
135486,1410
248258,1497
79088,1136
119710,605.81
76950,320
75805,390
77000,782
80000,252
37499,250
66847,350
25000,263
19500,88
17919,162
40000,56
45050,62
12500,10.76
43710,76.34
30623,467
20647,345
5035,24.3
18060,42.54
101110.8,349
36685,140
79810,249
63019,164
65030,108.3
151806,185
46215,15
22500,20.3
31245,42.6
37405,12.15
188724,252.81
44550,76.7
53570,100
11148.5,30.5
9660,33.9
14300,8
214785,442.79
37405,12.15
13730,19.37
77960,137.3
15675,9.69
42881.5,61.67
25585,83.7
8555,22.26
68953.5,48
68725,63
139925,345.99
36675,105
11355,31.6
8690,16.88
54170,43.28
33095,36.29
30610,53.55
31645,73.28
10235,45
48375,128
26765,42
68725,63
19710,38.12
224892,384.57
13730,19.37
41213,102.5
26324,28
72220,158
125586,18.2
125000,156
45000,132
6200,12
37960,25.32
31000,86
125000,216
623872.6,3108
732600,4838
579932,4550
1102592.8,4459
2664919.4,10070
617769.9,3781
28260,173
51747,327.3
51217,280
15882,80
56714,320
10000,78
20490,54
24020,37
11200,8.8
3100,7
10200,55
70000,67
35000,45.96
3790,10.5
28490,31
110000,114
55000,105
31396,182
17478,281
28452,250
15000,88
25000,416.36
31101,401
13700,129
35500,150
1518800,3708
13380,80
6488,41
4000,52
8315,42.5
10000,30
193000,600
4000,21.8
3520,17.66
2641,68
15400,62
24488,192
32204,450
4000,35
83016,168
22472,80
72323,703
4112,10.3
1657,35
17500,1000
2000,15
4056,18
8172,88
26779,128.3
9828,76
6714,46
3850,65
15176,68
52696,194.3
10073,58
33927,670
12000,120
90000,627
4800,145
15400,146
15457,145.36
16000,216.6
15200,55.4
15232,59.89
5600,9.8
12145,262
54000,156
29000,176
2839,83
87740,735
8865,65
10795,117
7107,36
64000,500
2609,28
10500,52
19000,46
8500,85
67800,717
1536,8
9190,129
11792,350
3200,45
12000,340
30345,179
2000,35.04
12419,135
80196,321
53099,238
60500,371
34188,200
21800,100
13730,148.1
21600,104.1
20598,340.6
65320,210
42000,126
9800,35
16757,403
10000,50
10000,70
43200,417
60000,250
15210,63.8
15150,60
385780,1118
22948,388
17895,332.67
339879,3470.92
13190,2525.8
111415,1140.93
10435,118
372518,180.5
141607,1161
13404,580
25382,314
96593,681
47786,422.6
4251,85.7
47926,468
4158,239
33100,439
61625,815
64052,538
51717,328
59951,747
10603,200
40061,1076.87
20838,618
59649,734
29198,278
26715,664
5412,123.34
182105,909
4638,100.48
29788,571.46
20106,230.8
26491,798
44909,844
32907,717
34751,692
40095,280
41549,1796.04
26178,534.7
120819,1227
404944,1830.45
441000,428
58656,203
378650,338
706747,636.87
117565,280
15624,59.29
60604,153.2
36369,78.04
889756,3312
133432.8,295.1
283081,886.65
120266,258
12300,35
224781,347.3
250686,466.79
259133,1466
166500,1007
15814,179
10461,110
5100,49.5
2500,35
9210,57.5
7508,58
56000,150
44843,237
73200,325
4000,50
8013,110
12500,60
2002,28
3919,38.2
7200,53
7400,49
3000,14
13176,33
9000,65
23000,92
7850,86
9000,88
8660,240
15000,50
21000,276.5
19000,100
8000,8
25598,214
14000,220
550,4
38600,200
8500,60
3707,10.5
25668,156
12580,200
14900,39
7051,40
5000,50
3030618.92,27769.03
4979631,31525.14
8000,23
2200,7.75
4690,18
3000666,32329.85
1137786,10511
2441238,27419
181892,448.07
125482,420
221230,585.7
73373,210.81
27100,49.83
40338,108.2
1160405,1700
2138,20325
26600,174.8
7812,254
16150,250
2500,32.7
21000,372
40836,153.9
6000,47
13600,31.8
2800,6.5
3172,105
4700,5.8
4623,16
2474,33.7
22108,97
5623,60
3532,15.6
10200,140
2082,11
1500,15
6000,16
42384,180
2760,16
14806,42
2453,60
23400,79.7
188724,252.81
25045.2,52.37
17344,35.45
69906,142
36260,62.2
33025,78
39575,55.12
12750,56.94
16670.5,58
6461,19.7
16181,51.47
66896,285.29
180210,302.7
172038,708
66747,455
125100,208
147537,296
23784,73
41322,110
215372,523
189397,1580
334783,854
437721,1286
44365,84.81
7800,24
16850,120
15000,29.5
8739,94
35000,47.28
68524,70
158130.5,242.13
60840,110.1
19020,51.82
60870,65
