2187477,1093
2246825,450
680000,2302
320714,712.26
549380,83.57
625783,118.07
1439561,326
370550,533.47
773851,1865.07
1231523,745.18
1387604,999.72
2122014,1593.51
5931634,4443.1
2084180,1141.89
1255031,556.58
5249867,4365.93
1068527,983.66
8652225,9704.43
12086170,8760.73
2382627,2746.73
10992046,22724.5
27543012,48773.77
1322758,1300.02
3807782,1805.64
9224687,30974.04
2914830,6112.83
4901665,9893.89
1333768,2170.61
50808,91.72
17063,349
1439561,55
154495,70
13852,18
17122,8.85
102656,29.01
69526,150
21355,3.8
76998,23
161137,59.05
72878,42.8
120265,35
35208,33
68405,2.09
32809,20
101386,31
34561,18.28
218324,213
58175,70
51132,41
61903,4
42275,75
38924,76.3
28822,13.8
98260,48
201756,420
66017,69.3
97305,102.86
48316,31.96
4370,12
229322,1353.95
192757,645.5
95056,234.06
116267,457.47
226508,1152.13
50246,160.31
137187,210.83
5674,24
134924,157.05
96865,113.38
179915,303.74
119243,577.3
366992,1378.73
77627,705
118352,432.6
40287,158.94
49600,132
43739,205
54076,213.8
11856,45.15
21735,151.64
119480,451.5
9461,42.28
66807,182
18611,44
68040,500
44532,168.56
278363,701.71
30685,57.54
119073,459
1324781,1711.61
231033,793.62
19464,67.9
117634,298.06
13172,60
91453,362.52
167095,587.14
103333,515.7
226539,606.01
51907,185
11876,50
78583,308.46
17022,57.31
99388,400
163662,241.56
41368,94.8
232006,678.6
81439,376.4
147233,539.17
424633,750
91483,394
4188,26.4
107263,460.96
26897,25
41562,158
110282,514
8330,41.85
22094,95
113122,429.41
6981,38.2
45579,266.11
62071,261
8655,41.61
391449,1359.86
56229,85.5
74587,365
163677,965.35
60005,205
54761,256
9004,48
29778,150
125214,383
666323,2001
19181,22
199961,724.91
25630,74.59
114171,435
190139,676.58
54926,79
710210,1239.84
22389,78
158024,325.86
241389,966
7341,41.57
2141,22
442548,1738.97
124575,188.13
232107,915.5
644919,1311.93
265955,708
15153,70
662362,2518
82887,260.58
120258,612.3
77318,219
262970,887.51
91278,438.31
121749,294.41
35054,70.94
474853,1656.53
23678,116
52330,255.07
16398,42.6
163735,410.96
12504,55
34388,162.3
248694,39.15
22449,138
342873,409.05
31181,11
1476867,1926.51
41602,120
82968,97.24
80936,137
228370,100
16373,288
15704,84.5
16326,91.01
21003,14.95
25700,43
17509,4
20657,2.3
33700,46
24113,48
98737,299
19508,41.39
8032,1
39688,5
11107,1
57285,78
215320,462.57
24982,85.5
18622,5
94289,90.9
268594,136.5
128680,102
219680,334.5
23583,56.1
1164098,4303.25
122646,208
45847,196.15
555284,1349.96
401896,922.51
56764,252.28
562151,538.8
580489,792.57
2057711,480.07
208702,490.44
483970,751.4
20911,67
296440,1025
46015,86
496696,738.3
184786,417.7
298142,273.9
150660,532.65
90518,13
853622,1848
37989,93.8
11546,32.82
21064,15.21
33929,31.38
16674,27.8
57423,194.75
80298,133.94
60539,71.94
87226,182
13375,44
322126,1276.91
72550,339
23551,10
128895,704
43235,99
58398,166.9
22394,63
53918,1.86
51113,2
38202,99
57250,207.69
23419,155
40305,54
12484,31
6207,60.42
27268,75.91
33562,103
57649,303
49768,240.4
20671,91.72
74036,462.47
15458,54.4
20710,51
14093,70
34075,136.12
38764,168
8892,47
32749,88
31348,156.07
56649,208
117794,354.43
32639,132
205271,99
158732,147.92
5674,37.3
4279210.84,528.7
21384,77.41
9848,36
35156,85
42098,2
62473,84
29955,187.68
72172,68.5
67198,49
76184,137.3
41795,5
8130,15.5
70280,228.96
60589,228
25619,30
81082,294.5
32980,185
2893,60
6158,10
15177,65.65
75820,100
3136,25
50197,255.63
66131,242.45
86844,225
28061,138.1
58802,186.86
5993,5
47937,167.6
31620,135
88648,397
51928,149.58
24394,53.95
4702,22.7
54388,170
44781,137.85
120152,405
56587,350
79264,225.35
41807,300
35942,12.85
34468,141.38
3597,12.84
12441,49
26369,28.36
178000,129.8
28000,15
163757,19.95
1029000,1025.9
30240,65.5
2737,12
57857,291.83
57089,95.31
49991,101.61
31895,55.82
33610,76.4
444365,46.17
444490,81
4592454,265
152345,42.99
413643,108
362529,37.85
205816,58.5
823551,86.5
218941,37
234598,20
212000,131.5
137899,117.7
282955,35.5
861968,706.4
505433,691
170000,270.2
321950,261.53
145850,250.98
58041,65
328600,463.8
173763,362.3
195100,376.1
336200,345.2
858100,453.1
462000,497
38013,97.46
216834,308.56
356983,288.56
155681,303.64
182900,314.23
209529,240.1
5273.67,7
44122.5,27.27
116689.5,154.89
36985.58,28
61758.33,29.45
89000,104
116000,139
75414,22.58
139220.83,20.83
379000,160
884802.17,592.43
12000,2
113814,150
2580,6
36290.67,36
7930.75,10.5
9089,7.16
4800,6.68
21662.92,15
134000,78
19101,19.54
24518,6.2
96167,26.5
38852,9.06
79636,29.4
31000,22
22440,28
16107,25.5
7575,10
40000,32
13387.25,3.25
17060,52.3
90066,35
1200000,1170
344615,2191
122382,332
79590,217
22000,67
58809,58.5
29659,34
66069,186
17500,44
27000,29.9
25000,22
405000,1300
110979,154
199191,393
8000,20
7900,23
8000,15
20500,85.02
311000,619.5
232694,1234.7
357652,860.97
327684,1230
572944,1324.68
380000,959.4
42485,181.4
97011,602.32
301834,732.2
762500,1800.1
15100,154.5
92000,731.3
72754,320.5
771900,1991.74
93500,492
207634,389.12
69455,152.6
407133,884.46
150300,941.7
2044051,3999.4
110266,298.64
31600,149.5
124000,459.1
98854,977.3
24707,339
179160,292.3
14900,20.92
351230,507.4
531720,757.6
661009,940.38
387090,729.2
74560,102.9
224340,262.5
405920,509.8
