493740,1093
386454,450
677500,2302
257620.8,528.7
37800,129.8
28000,15
148757,19.95
492430,1025.9
35549,46.17
53338.8,81
229622.7,265
18281.4,42.99
49637.16,108
14501.16,37.85
57628.48,58.5
41177.55,86.5
17515.28,37
14075.88,20
28600,131.5
61931,117.7
28295.5,35.5
549000,706.4
352100,691
66600,270.2
116100,261.53
122791,250.98
32539,65
244200,463.8
173763,362.3
153900,376.1
227900,345.2
416983,453.1
198300,497
22229,97.46
111100,308.56
167474,288.56
121684,303.64
65102,314.23
122495,240.1
2620.42,7
33067,27.27
83019.17,154.89
35887.42,28
44482.67,29.45
84900,104
116000,139
300,22.58
38400.75,20.83
178371.92,160
644791.17,592.43
250,2
75096.33,150
2183,6
14239.83,36
2225,10.5
5261,7.16
1620,6.68
3413.92,15
83000,78
16100,19.54
8360,6.2
23832,26.5
10720,9.06
40000,29.4
12994,22
17800,28
8791,25.5
6300,10
25000,32
6750,3.25
16000,52.3
20104,35
1036731.5,1170
280845,2191
122382,332
63672,217
22987,63100
22000,67
23958.28,58.5
10310,34
8000,186
17500,44
8992,29.9
9000,22
320000,1300
86563,154
8935,12220
120000,393
8000,20
7133.42,23
2399,15
20500,85.02
304419,619.5
174500,1234.7
345168,860.97
258033,1230
572944,1324.68
374300,959.4
32000,181.4
97011,602.32
271952,732.2
757200,1800.1
15010,154.5
91000,731.3
72754,320.5
703973,1991.74
88100,492
197252.3,389.12
66562,152.6
405504,884.46
137052,941.7
2044051,3999.4
106186,298.64
31000,149.5
124000,459.1
82000,977.3
22484.88,339
115519,292.3
14061,20.92
219529,507.4
392686,757.6
556078,940.38
330074,729.2
60332,102.9
165522,262.5
230941,509.8
465000,578.9
1010555,1323.5
87726,139.4
193562,360.8
1366989,1367.5
76206,114.9
20777,33.7
418460,845
271700,563.42
644460,663.9
399666,684.2
324212,548.4
983320,1297.8
471329,608
503355,699.9
49685,107.7
475448,576.3
244088,389
686130,1046.7
918449,1083.75
276309,390.9
352876,423.8
70788,93.3
449924,892.4
86248,182.3
85351,216.5
295752,473
11896348,8344.7
298205,293.4
164500,355.8
12672,34.5
1239922,1429.1
121295,417.2
1642981,1629
931720,1308.4
487090,775.16
284980,408.2
350049,562.9
881103,1179
163571,321.3
235923,359.3
215880,360.2
913821,1400.3
438024,723.5
40283,72.1
1048191,1410.4
288650,383.2
544340,945.14
292495,424.2
4793658,8906.1
336010,346.6
179029,404.5
273098,474.5
465529,584
